frame,fps,latency_ms,cpu_percent,detections,raw_messages,context_messages,decision_messages,audio_spoken,final_messages
0,6.83,141.49,28.4,1,1,1,1,0,Person very close ahead
1,7.58,130.11,64.0,1,1,0,0,0,
2,11.66,84.88,58.8,1,1,0,0,0,
3,11.56,85.17,62.2,1,1,0,0,0,
4,11.65,84.61,57.6,1,1,0,0,0,
5,11.65,84.73,60.0,1,1,0,0,0,
6,11.71,84.66,56.3,1,1,0,0,0,
7,11.44,86.15,60.5,1,1,0,0,0,
8,11.51,85.66,63.2,1,1,0,0,0,
9,11.59,85.4,56.3,1,1,0,0,0,
10,11.65,84.92,57.6,1,1,0,0,0,
11,11.57,85.4,61.1,1,1,0,0,0,
12,11.66,84.8,56.2,1,1,0,0,0,
13,11.44,86.55,58.8,1,1,0,0,0,
14,11.69,84.6,62.2,1,1,0,0,0,
15,11.65,84.51,60.0,1,1,0,0,0,
16,11.63,85.15,58.8,1,1,0,0,0,
17,11.53,85.77,60.0,1,1,0,0,0,
18,11.49,86.08,57.6,1,1,0,0,0,
19,11.45,85.93,60.0,1,1,0,0,0,
20,11.55,85.65,59.5,1,1,0,0,0,
21,11.53,85.84,56.3,1,1,0,0,0,
22,8.72,113.77,60.0,1,1,0,0,0,
23,11.46,85.72,54.5,1,1,0,0,0,
24,11.23,88.04,58.8,1,1,0,0,0,
25,10.22,96.86,57.9,1,1,0,0,0,
26,8.8,112.67,65.2,1,1,0,0,0,
27,11.65,84.86,57.6,1,1,0,0,0,
28,11.59,85.38,60.0,1,1,0,0,1,
29,11.63,85.04,58.8,1,1,0,0,1,
30,11.47,86.26,64.1,1,1,0,0,1,
31,11.56,85.61,57.6,1,1,0,0,1,
32,11.56,85.39,54.8,1,1,0,0,1,
33,11.37,87.26,62.2,1,1,0,0,1,
34,11.66,84.94,63.2,1,1,0,0,1,
35,11.48,86.02,56.2,1,1,0,0,1,
36,10.39,95.06,60.0,1,1,0,0,1,
37,11.53,85.93,57.6,1,1,0,0,1,
38,11.59,85.38,57.6,1,1,0,0,1,
39,11.63,84.96,60.0,1,1,0,0,1,
40,11.6,85.12,57.1,1,1,0,0,1,
41,11.65,85.07,63.9,1,1,0,0,1,
42,11.64,85.1,58.8,1,1,0,0,1,
43,11.62,85.03,58.8,1,1,0,0,1,
44,11.61,85.03,57.1,1,1,0,0,1,
45,11.63,85.3,61.8,1,1,0,0,1,
46,11.56,85.69,61.1,1,1,0,0,1,
47,11.65,84.8,56.3,1,1,0,0,1,
48,11.63,84.92,62.2,1,1,0,0,1,
49,11.57,85.65,54.8,1,1,0,0,1,
50,11.72,84.52,57.6,1,1,0,0,1,
51,11.7,84.47,54.8,1,1,0,0,1,
52,11.66,84.76,62.2,1,1,0,0,1,
53,11.68,84.85,56.3,1,1,0,0,1,
54,11.71,84.56,63.2,1,1,0,0,1,
55,11.74,84.22,58.8,1,1,0,0,1,
56,11.59,85.2,62.2,1,1,0,0,1,
57,11.53,85.49,56.3,1,1,0,0,1,
58,11.49,86.42,60.0,1,1,0,0,1,
59,11.71,84.61,62.9,1,1,0,0,1,
60,11.57,85.13,55.9,1,1,0,0,1,
61,11.7,84.46,61.8,1,1,0,0,1,
62,11.59,85.33,55.9,1,1,0,0,1,
63,11.73,84.5,60.6,1,1,0,0,1,
64,11.61,84.9,57.6,1,1,0,0,1,
65,11.63,85.17,56.3,1,1,0,0,1,
66,11.63,85.14,56.3,1,1,0,0,1,
67,11.7,84.69,58.8,1,1,0,0,1,
68,11.64,84.7,56.3,1,1,0,0,1,
69,11.6,85.52,61.1,1,1,0,0,1,
70,11.53,85.85,61.1,1,1,0,0,1,
71,11.66,84.95,58.8,1,1,0,0,1,
72,11.69,84.34,60.0,1,1,0,0,1,
73,11.6,85.02,60.0,1,1,0,0,1,
74,11.67,84.86,61.1,1,1,0,0,1,
75,11.67,84.89,57.6,1,1,0,0,1,
76,11.68,84.5,62.2,1,1,0,0,1,
77,11.61,85.12,58.8,1,1,0,0,1,
78,11.59,85.52,56.3,1,1,0,0,1,
79,10.58,93.77,62.9,1,1,0,0,1,
80,11.67,84.76,58.8,1,1,0,0,1,
81,11.37,87.12,61.1,1,1,0,0,1,
82,11.56,85.74,61.1,1,1,0,0,1,
83,11.66,84.96,54.8,1,1,0,0,1,
84,11.61,84.92,57.6,1,1,0,0,1,
85,11.75,84.35,57.6,1,1,0,0,1,
86,11.66,84.89,61.1,1,1,0,0,1,
87,11.76,84.24,57.6,1,1,0,0,1,
88,11.65,84.67,58.8,1,1,0,0,1,
89,11.76,84.25,57.6,1,1,0,0,1,
90,11.74,84.31,57.6,1,1,0,0,1,
91,11.52,86.02,60.0,1,1,0,0,1,
92,11.67,84.47,60.0,1,1,0,0,1,
93,11.45,86.65,56.3,1,1,0,0,1,
94,11.67,84.89,58.8,1,1,0,0,1,
95,11.75,84.34,57.6,1,1,0,0,1,
96,11.72,84.16,61.1,1,1,0,0,1,
97,11.69,84.75,57.6,1,1,0,0,1,
98,11.72,84.47,58.8,1,1,0,0,1,
99,11.8,84.0,62.2,1,1,0,0,1,
100,11.73,84.18,58.8,1,1,0,0,1,
101,11.73,84.43,56.3,1,1,0,0,1,
102,11.73,84.37,61.1,1,1,0,0,1,
103,11.77,84.12,57.6,1,1,0,0,1,
104,11.58,85.13,57.6,1,1,0,0,1,
105,11.59,85.39,57.6,1,1,0,0,1,
106,11.73,84.27,61.1,1,1,0,0,1,
107,11.73,84.34,58.8,1,1,0,0,1,
108,11.62,84.69,61.1,1,1,0,0,1,
109,11.71,84.41,58.8,1,1,0,0,1,
110,11.69,84.64,55.9,1,1,0,0,1,
111,11.75,84.38,61.8,1,1,0,0,1,
112,11.78,83.67,55.9,1,1,0,0,1,
113,11.7,84.67,58.8,1,1,0,0,1,
114,11.75,84.32,59.4,1,1,0,0,1,
115,11.78,84.13,58.8,1,1,1,1,1,Person very close ahead
116,11.44,86.28,59.5,1,1,0,0,1,
117,11.67,85.02,57.6,1,1,0,0,1,
118,11.78,84.07,57.6,1,1,0,0,1,
119,11.82,83.81,58.1,1,1,0,0,1,
120,11.68,84.44,59.5,1,1,0,0,1,
121,11.71,84.59,57.6,1,1,0,0,1,
122,11.8,83.91,59.4,1,1,0,0,1,
123,11.69,84.8,62.2,1,1,0,0,1,
124,11.73,84.04,57.6,1,1,0,0,1,
125,11.74,84.37,54.5,1,1,0,0,1,
126,11.75,84.27,63.9,1,1,0,0,1,
127,11.99,82.65,62.2,1,1,0,0,1,
128,11.54,85.42,57.6,1,1,0,0,1,
129,11.79,84.1,56.3,1,1,0,0,1,
130,11.75,84.27,60.0,1,1,0,0,1,
131,11.83,83.81,57.6,1,1,0,0,1,
132,11.76,83.89,60.0,1,1,0,0,1,
133,11.81,83.87,62.2,1,1,0,0,1,
134,11.76,84.23,57.6,1,1,0,0,1,
135,11.85,83.64,54.8,1,1,0,0,1,
136,11.86,83.31,56.3,1,1,0,0,1,
137,11.04,89.72,66.7,1,1,0,0,1,
138,11.75,84.06,54.8,1,1,0,0,1,
139,11.63,85.21,60.0,1,1,0,0,1,
140,11.77,83.95,58.8,1,1,0,0,1,
141,11.6,84.61,62.2,1,1,0,0,1,
142,11.75,84.32,56.3,1,1,0,0,1,
143,11.82,83.81,53.3,1,1,0,0,1,
144,11.7,84.33,61.1,2,2,1,0,1,
145,11.82,83.88,56.3,1,1,0,0,1,
146,11.76,83.97,57.6,1,1,0,0,1,
147,11.87,83.49,60.0,1,1,0,0,1,
148,11.74,83.97,62.2,1,1,0,0,1,
149,11.67,84.95,60.0,2,2,0,0,1,
150,11.67,84.63,61.1,2,2,0,0,1,
151,11.56,85.71,58.8,1,1,0,0,1,
152,11.76,83.91,61.1,1,1,0,0,1,
153,11.83,83.33,60.0,1,1,0,0,1,
154,11.75,84.17,58.8,1,1,0,0,1,
155,11.81,83.79,58.1,1,1,0,0,1,
156,11.73,83.99,57.1,1,1,0,0,1,
157,11.83,83.69,58.1,1,1,0,0,1,
158,11.78,84.08,57.6,1,1,0,0,1,
159,11.82,83.61,60.0,1,1,0,0,1,
160,11.83,83.41,61.1,1,1,0,0,1,
161,11.7,84.71,60.0,1,1,0,0,1,
162,11.81,83.86,54.8,1,1,0,0,1,
163,11.62,85.13,62.2,1,1,0,0,1,
164,11.77,83.84,60.0,1,1,0,0,1,
165,11.71,84.73,58.8,1,1,0,0,1,
166,11.78,84.11,58.8,1,1,0,0,1,
167,11.77,83.93,56.3,1,1,0,0,1,
168,11.74,84.0,61.1,1,1,0,0,1,
169,11.71,84.64,58.8,1,1,0,0,1,
170,11.76,84.21,56.3,1,1,0,0,1,
171,11.73,84.31,62.2,1,1,0,0,1,
172,11.71,84.23,56.3,1,1,0,0,1,
173,11.69,84.74,54.8,1,1,0,0,1,
174,11.62,85.25,60.5,1,1,0,0,1,
175,11.76,84.02,56.3,1,1,0,0,1,
176,10.57,93.45,57.9,1,1,0,0,1,
177,11.79,84.13,58.8,1,1,0,0,1,
178,11.98,82.66,58.8,1,1,0,0,1,
179,11.8,83.74,58.8,1,1,0,0,1,
180,11.78,83.63,61.1,1,1,0,0,1,
181,11.81,83.85,60.0,1,1,0,0,1,
182,11.79,83.96,57.6,1,1,0,0,1,
183,11.79,83.82,62.9,1,1,0,0,1,
184,11.77,84.15,61.1,1,1,0,0,1,
185,11.84,83.62,58.8,1,1,0,0,1,
186,11.63,85.17,53.3,1,1,0,0,1,
187,11.72,84.22,58.8,1,1,0,0,1,
188,11.72,84.34,57.6,1,1,0,0,1,
189,11.85,83.67,60.0,1,1,0,0,1,
190,11.75,84.22,60.0,1,1,0,0,1,
191,11.8,83.84,57.6,1,1,0,0,1,
192,11.81,83.65,57.6,1,1,0,0,1,
193,11.81,83.86,58.8,1,1,0,0,1,
194,11.82,83.8,61.1,1,1,0,0,1,
195,11.87,83.28,58.8,1,1,0,0,1,
196,9.87,100.35,60.0,1,1,0,0,1,
197,11.83,83.74,57.6,1,1,0,0,1,
198,11.51,86.02,58.8,1,1,0,0,1,
199,11.79,83.84,56.3,1,1,0,0,1,
200,11.72,84.25,58.8,1,1,0,0,1,
201,11.9,83.34,56.3,1,1,0,0,1,
202,11.75,84.29,56.3,1,1,0,0,1,
203,11.82,83.63,56.3,1,1,0,0,1,
204,11.87,83.16,60.0,1,1,0,0,1,
205,11.84,83.69,60.0,1,1,0,0,1,
206,11.79,84.01,56.2,1,1,0,0,1,
207,11.72,84.31,56.3,1,1,0,0,1,
208,11.6,84.94,58.8,1,1,0,0,1,
209,11.57,85.72,56.3,1,1,0,0,1,
210,11.72,84.55,59.4,1,1,0,0,1,
211,11.8,83.73,56.3,1,1,0,0,1,
212,11.76,83.98,57.1,1,1,0,0,1,
213,11.78,84.18,60.6,1,1,0,0,1,
214,11.76,84.18,58.8,1,1,0,0,1,
215,11.84,83.43,56.2,1,1,0,0,1,
216,11.78,83.85,57.6,1,1,0,0,1,
217,11.73,84.46,57.6,1,1,0,0,1,
218,11.72,84.53,57.6,1,1,0,0,1,
219,11.76,84.07,60.0,1,1,0,0,1,
220,11.73,84.26,57.6,1,1,0,0,1,
221,11.52,86.09,58.8,1,1,0,0,1,
222,11.78,84.06,58.8,1,1,0,0,1,
223,11.76,84.07,54.8,1,1,0,0,1,
224,11.79,83.82,63.2,1,1,0,0,1,
225,11.85,83.74,57.6,1,1,0,0,1,
226,11.79,83.99,58.8,1,1,0,0,1,
227,11.76,84.05,54.8,1,1,0,0,1,
228,11.8,83.64,61.1,1,1,0,0,1,
229,11.81,83.91,58.8,1,1,0,0,1,
230,11.95,82.84,57.6,1,1,0,0,1,
231,11.76,84.09,58.8,1,1,0,0,1,
232,11.83,83.49,56.3,1,1,1,1,1,Person very close ahead
233,7.74,128.31,68.0,1,1,0,0,1,
234,11.45,86.44,57.6,1,1,0,0,1,
235,11.48,86.2,60.0,1,1,0,0,1,
236,11.51,85.77,58.8,1,1,0,0,1,
237,11.51,86.23,64.1,1,1,0,0,1,
238,11.62,85.33,54.8,1,1,0,0,1,
239,11.53,85.69,56.7,1,1,0,0,1,
240,11.58,85.57,62.2,1,1,0,0,1,
241,11.59,85.53,51.7,1,1,0,0,1,
242,11.64,85.12,58.8,1,1,0,0,1,
243,11.63,85.04,60.0,1,1,0,0,1,
244,11.34,87.38,61.8,1,1,0,0,1,
245,11.59,85.51,61.1,1,1,0,0,1,
246,11.59,85.43,63.2,1,1,0,0,1,
247,11.47,86.24,61.1,1,1,0,0,1,
248,11.62,85.29,58.1,1,1,0,0,1,
249,11.64,85.24,61.1,1,1,0,0,1,
250,11.62,85.28,58.8,1,1,0,0,1,
251,11.55,85.88,60.0,1,1,0,0,1,
252,11.5,85.96,62.9,1,1,0,0,1,
253,11.04,89.84,66.7,1,1,0,0,1,
254,11.55,85.73,57.6,1,1,0,0,1,
255,11.46,86.51,62.2,1,1,0,0,1,
256,11.5,85.96,62.2,1,1,0,0,1,
257,11.62,85.27,60.0,1,1,0,0,1,
258,8.77,113.12,61.4,1,1,0,0,1,
259,11.57,85.59,63.2,1,1,0,0,1,
260,11.57,85.56,58.8,1,1,0,0,2,
261,11.6,85.3,59.4,1,1,0,0,2,
262,11.54,85.74,63.2,1,1,0,0,2,
263,11.61,85.23,54.8,1,1,0,0,2,
264,11.56,85.18,57.6,1,1,0,0,2,
265,11.56,85.61,62.2,1,1,0,0,2,
266,11.63,85.08,54.8,1,1,0,0,2,
267,11.5,86.14,57.6,1,1,0,0,2,
268,11.6,84.88,62.2,1,1,0,0,2,
269,11.66,84.88,59.4,1,1,0,0,2,
270,11.49,86.09,58.3,1,1,0,0,2,
271,11.59,85.41,61.8,1,1,0,0,2,
272,11.52,85.53,51.6,1,1,0,0,2,
273,11.61,85.25,61.1,1,1,0,0,2,
274,11.66,84.77,62.9,1,1,0,0,2,
275,11.63,85.13,58.8,1,1,0,0,2,
276,11.52,85.53,61.1,1,1,0,0,2,
277,11.65,84.92,54.8,1,1,0,0,2,
278,11.47,86.27,58.8,1,1,0,0,2,
279,11.66,84.89,61.1,1,1,0,0,2,
280,11.58,85.03,54.8,1,1,0,0,2,
281,11.65,85.01,58.8,1,1,0,0,2,
282,11.6,85.24,53.3,1,1,0,0,2,
283,11.61,85.23,60.0,1,1,0,0,2,
284,11.55,85.27,61.1,1,1,0,0,2,
285,11.52,85.95,58.8,1,1,0,0,2,
286,11.6,85.26,56.3,1,1,0,0,2,
287,11.6,85.34,61.8,1,1,0,0,2,
288,11.63,85.11,58.8,1,1,0,0,2,
289,11.62,85.1,57.6,1,1,0,0,2,
290,11.39,86.89,61.1,1,1,0,0,2,
291,11.61,85.27,57.6,1,1,0,0,2,
292,11.5,85.59,58.8,1,1,0,0,2,
293,11.62,85.19,63.2,1,1,0,0,2,
294,11.59,85.39,57.6,1,1,0,0,2,
295,11.63,85.1,61.1,1,1,0,0,2,
296,11.58,85.04,58.8,1,1,0,0,2,
297,11.59,85.42,57.6,1,1,0,0,2,
298,11.61,85.17,62.2,1,1,0,0,2,
299,11.58,85.48,56.3,1,1,0,0,2,
300,11.61,84.79,58.8,1,1,0,0,2,
301,11.4,86.68,63.2,1,1,0,0,2,
302,11.59,85.36,60.6,1,1,0,0,2,
303,11.62,85.16,58.8,1,1,0,0,2,
304,11.5,85.63,60.0,1,1,0,0,2,
305,11.67,84.84,60.0,1,1,0,0,2,
306,11.88,83.24,62.2,1,1,0,0,2,
307,11.76,84.2,57.6,1,1,0,0,2,
308,11.58,85.04,61.1,1,1,0,0,2,
309,11.69,84.67,60.0,1,1,0,0,2,
310,11.64,84.99,61.8,1,1,0,0,2,
311,10.33,95.94,66.7,1,1,0,0,2,
312,11.62,84.87,56.3,1,1,0,0,2,
313,11.46,86.53,58.8,1,1,0,0,2,
314,11.65,84.96,62.2,1,1,0,0,2,
315,11.72,84.46,57.6,1,1,0,0,2,
316,11.49,85.73,65.8,1,1,0,0,2,
317,11.78,84.01,54.8,1,1,0,0,2,
318,11.81,83.77,61.1,1,1,0,0,2,
319,11.81,83.82,57.6,1,1,0,0,2,
320,11.75,83.84,57.6,1,1,0,0,2,
321,11.75,84.24,58.8,1,1,0,0,2,
322,11.82,83.65,62.2,1,1,0,0,2,
323,11.63,85.07,61.8,1,1,0,0,2,
324,11.5,85.63,62.2,1,1,0,0,2,
325,11.78,83.98,53.3,1,1,0,0,2,
326,11.79,83.93,60.0,1,1,0,0,2,
327,11.78,84.02,58.8,1,1,0,0,2,
328,11.78,83.57,58.8,1,1,0,0,2,
329,11.75,84.23,56.3,2,2,1,0,2,
330,11.81,83.8,62.2,2,2,0,0,2,
331,11.75,84.26,54.8,2,2,0,0,2,
332,11.67,84.42,62.2,1,1,0,0,2,
333,11.76,84.14,61.1,1,1,0,0,2,
334,11.76,84.09,56.3,1,1,0,0,2,
335,11.82,83.72,56.3,1,1,0,0,2,
336,11.48,85.8,64.9,1,1,0,0,2,
337,11.85,83.49,60.0,1,1,0,0,2,
338,11.78,83.88,60.0,1,1,0,0,2,
339,11.77,84.04,60.0,1,1,0,0,2,
340,11.72,84.0,53.3,1,1,0,0,2,
341,11.78,84.06,60.0,1,1,0,0,2,
342,11.76,84.09,58.8,1,1,0,0,2,
343,11.69,84.71,56.3,1,1,0,0,2,
344,11.77,83.71,61.1,1,1,0,0,2,
345,11.75,84.29,58.1,1,1,0,0,2,
346,11.78,83.94,56.3,1,1,0,0,2,
347,11.51,86.01,61.1,1,1,1,1,2,Person very close ahead
348,11.53,85.39,61.1,1,1,0,0,2,
349,11.72,84.36,57.6,1,1,0,0,2,
350,11.84,83.6,53.3,1,1,0,0,2,
351,11.82,83.72,61.1,1,1,0,0,2,
352,11.7,84.16,58.8,1,1,0,0,2,
353,11.76,84.21,56.3,1,1,0,0,2,
354,11.76,84.17,61.1,1,1,0,0,2,
355,11.62,85.18,58.8,1,1,0,0,2,
356,11.77,83.69,58.8,1,1,0,0,2,
357,11.78,84.03,61.1,1,1,0,0,2,
358,11.76,84.07,56.3,1,1,0,0,2,
359,11.71,84.57,57.6,1,1,0,0,2,
360,11.56,84.74,57.6,1,1,0,0,2,
361,11.73,84.28,61.1,1,1,0,0,2,
362,11.71,84.56,58.8,1,1,0,0,2,
363,11.75,84.23,56.3,1,1,0,0,2,
364,11.69,84.23,62.2,1,1,0,0,2,
365,11.74,84.29,57.6,1,1,0,0,2,
366,11.76,84.13,54.8,1,1,0,0,2,
367,11.73,84.43,63.2,1,1,0,0,2,
368,11.73,84.12,57.6,1,1,0,0,2,
369,10.43,95.18,65.7,1,1,0,0,2,
370,11.75,84.33,60.0,1,1,0,0,2,
371,11.52,86.04,63.2,1,1,0,0,2,
372,11.68,84.65,62.2,1,1,0,0,2,
373,11.71,84.64,62.9,1,1,0,0,2,
374,11.78,84.02,54.8,1,1,0,0,2,
375,11.79,84.03,62.2,1,1,0,0,2,
376,11.73,84.25,58.8,1,1,0,0,2,
377,11.81,83.89,57.6,1,1,0,0,2,
378,11.71,84.58,63.2,1,1,0,0,2,
379,11.73,84.48,58.8,1,1,0,0,2,
380,11.71,84.43,56.3,1,1,0,0,2,
381,11.51,86.21,63.2,1,1,0,0,2,
382,11.74,84.37,61.1,1,1,0,0,2,
383,11.65,85.11,61.8,1,1,0,0,2,
384,11.65,84.82,58.8,1,1,0,0,2,
385,11.77,84.22,58.8,1,1,0,0,2,
386,11.76,84.22,57.6,1,1,0,0,2,
387,11.74,84.41,58.8,1,1,0,0,2,
388,11.74,84.19,57.6,1,1,0,0,2,
389,11.77,84.22,57.6,1,1,0,0,2,
390,11.74,84.33,61.1,1,1,0,0,2,
391,11.72,84.49,58.8,1,1,0,0,2,
392,11.74,84.24,56.3,1,1,0,0,2,
393,11.73,84.59,58.8,1,1,0,0,2,
394,11.59,85.49,60.6,1,1,0,0,2,
395,11.7,84.72,60.0,1,1,0,0,2,
396,11.7,84.43,56.3,1,1,0,0,2,
397,11.73,84.46,60.0,1,1,0,0,2,
398,11.78,84.03,58.8,1,1,0,0,2,
399,11.74,84.43,56.2,1,1,0,0,2,
400,11.71,84.36,63.2,1,1,0,0,2,
401,11.69,84.77,57.6,1,1,0,0,2,
402,11.72,84.53,53.3,2,2,1,0,2,
403,11.73,84.47,62.2,1,1,0,0,2,
404,11.72,84.35,57.6,1,1,0,0,2,
405,11.75,84.31,60.0,1,1,0,0,2,
406,11.52,85.89,60.6,1,1,0,0,2,
407,11.76,84.25,62.2,1,1,0,0,2,
408,11.72,84.44,60.0,1,1,0,0,2,
409,11.9,83.11,56.3,1,1,0,0,2,
410,11.83,83.69,56.3,1,1,0,0,2,
411,11.79,84.0,58.8,1,1,0,0,2,
412,11.79,83.92,60.0,1,1,0,0,2,
413,11.77,84.12,61.8,1,1,0,0,2,
414,11.84,83.64,58.8,1,1,0,0,2,
415,11.77,84.16,61.1,1,1,0,0,2,
416,11.77,84.07,60.0,1,1,0,0,2,
417,11.84,83.78,60.0,1,1,0,0,2,
418,11.58,85.57,58.1,1,1,0,0,2,
419,11.79,84.02,58.8,1,1,0,0,2,
420,11.79,83.9,57.6,1,1,0,0,2,
421,11.75,84.19,57.6,1,1,0,0,2,
422,11.82,83.73,63.2,1,1,0,0,2,
423,11.8,83.92,56.3,1,1,0,0,2,
424,11.78,84.03,57.6,1,1,0,0,2,
425,11.77,84.15,61.8,1,1,0,0,2,
426,11.84,83.54,62.2,1,1,0,0,2,
427,10.41,95.19,62.5,1,1,0,0,2,
428,11.66,84.77,60.6,1,1,0,0,2,
429,11.6,85.31,58.8,1,1,0,0,2,
430,11.74,84.39,58.8,1,1,0,0,2,
431,11.76,84.28,58.8,1,1,0,0,2,
432,11.75,84.36,56.3,1,1,0,0,2,
433,11.75,84.31,58.8,1,1,0,0,2,
434,11.77,84.16,60.0,1,1,0,0,2,
435,11.74,84.42,57.6,1,1,0,0,2,
436,11.72,84.29,53.3,1,1,0,0,2,
437,11.73,84.48,60.0,1,1,0,0,2,
438,11.77,84.14,58.8,1,1,0,0,2,
439,11.64,85.14,56.7,1,1,0,0,2,
440,11.68,84.6,58.8,1,1,0,0,2,
441,11.58,85.68,60.0,1,1,0,0,2,
442,11.69,84.71,57.6,1,1,0,0,2,
443,11.76,84.23,58.8,1,1,0,0,2,
444,11.71,84.34,58.8,1,1,0,0,2,
445,11.76,84.24,60.0,1,1,0,0,2,
