frame,fps,latency_ms,cpu_percent,raw_messages,filtered_messages,blocked_messages,messages
345,11.84,83.75,58.1,2,0,2,
346,11.59,85.56,61.1,2,0,2,
347,11.82,83.89,58.1,2,0,2,
348,11.7,84.74,57.6,2,0,2,
349,11.7,84.82,63.2,2,0,2,
350,11.72,84.59,59.4,2,0,2,
351,11.85,83.73,57.6,2,0,2,
352,11.86,83.61,60.0,2,0,2,
353,11.84,83.79,61.8,2,0,2,
354,11.8,84.0,58.8,2,0,2,
355,11.73,84.53,54.8,2,0,2,
356,11.73,84.56,56.3,2,1,1,microwave on your left
357,11.53,86.07,61.1,2,0,2,
358,11.76,84.31,63.2,2,0,2,
359,11.79,84.08,60.6,2,0,2,
360,11.76,84.29,57.6,2,0,2,
361,11.67,85.0,60.0,2,0,2,
362,11.61,85.36,57.6,2,0,2,
363,11.6,85.45,62.2,2,0,2,
364,11.81,83.92,56.3,2,0,2,
365,11.82,83.92,56.3,2,0,2,
366,11.62,85.38,63.9,2,0,2,
367,11.3,87.69,65.7,2,0,2,
368,11.75,84.36,56.3,2,0,2,
369,11.51,86.21,62.2,2,0,2,
370,11.72,84.59,57.6,2,0,2,
371,11.75,84.44,60.0,2,0,2,
372,11.76,84.35,58.1,2,0,2,
373,11.8,84.02,61.1,2,0,2,
374,11.73,84.56,60.0,2,1,1,person ahead
375,11.76,84.33,58.8,2,0,2,
376,11.82,83.85,58.1,2,0,2,
377,11.74,84.5,58.8,3,1,2,tv on your left
378,11.64,85.16,57.6,2,0,2,
379,11.73,84.53,59.4,2,0,2,
380,11.82,83.9,61.1,3,0,3,
381,11.71,84.73,58.8,3,0,3,
382,11.68,84.91,62.9,3,0,3,
383,11.79,84.15,62.2,3,0,3,
384,11.75,84.41,56.3,2,1,1,person on your right
385,11.61,85.48,61.1,3,0,3,
386,11.73,84.55,56.2,2,0,2,
387,11.52,85.98,61.1,2,0,2,
388,11.69,84.83,60.6,3,0,3,
389,11.65,85.16,62.2,3,0,3,
390,11.78,84.22,54.8,3,0,3,
391,11.68,84.97,61.1,3,0,3,
392,11.38,87.1,57.6,3,0,3,
393,11.61,85.43,57.6,2,0,2,
394,11.72,84.64,60.0,3,0,3,
395,11.71,84.76,60.6,3,0,3,
396,11.69,84.78,56.3,3,0,3,
397,11.69,84.89,58.8,3,0,3,
398,11.7,84.79,54.8,3,0,3,
399,11.77,84.31,63.9,3,1,2,person ahead
400,11.69,84.82,57.6,2,0,2,
401,11.72,84.63,57.6,2,0,2,
402,11.71,84.67,61.1,2,0,2,
403,11.72,84.61,56.3,2,0,2,
404,11.39,87.04,58.8,2,0,2,
405,11.58,85.72,62.9,2,0,2,
406,11.73,84.52,56.3,1,0,1,
407,11.74,84.49,63.2,1,0,1,
408,11.92,83.2,61.1,1,0,1,
409,11.61,85.44,59.4,1,0,1,
410,11.63,85.17,63.2,1,0,1,
411,11.56,85.77,57.6,1,1,0,person on your left
412,11.58,85.63,58.8,2,1,1,person on your left
413,11.42,86.8,60.0,3,1,2,tv ahead
414,11.52,85.99,60.0,1,0,1,
415,11.74,84.5,57.6,1,0,1,
416,11.52,86.1,62.2,3,3,0,person on your left | person on your left | microwave on your left
417,11.74,84.46,51.7,3,1,2,person on your left
418,11.71,84.65,63.9,3,0,3,
419,11.78,84.18,56.3,1,0,1,
420,11.79,84.08,54.8,1,0,1,
421,11.78,84.21,60.0,1,0,1,
422,11.72,84.6,61.8,1,0,1,
423,11.7,84.81,54.8,1,0,1,
424,11.7,84.77,61.1,1,0,1,
425,11.16,88.94,63.6,1,0,1,
426,11.68,84.88,62.2,1,0,1,
427,11.47,86.49,54.8,1,0,1,
428,11.65,85.15,58.8,1,0,1,
429,11.78,84.21,59.4,1,0,1,
430,11.75,84.37,60.0,1,0,1,
431,11.7,84.84,58.8,2,1,1,tv on your left
432,11.7,84.69,58.8,1,0,1,
433,11.82,83.91,63.9,1,0,1,
434,11.72,84.57,60.0,1,0,1,
435,11.77,84.3,56.2,1,0,1,
436,11.62,85.31,63.2,1,0,1,
437,11.34,87.51,61.1,1,0,1,
438,11.63,85.2,61.1,1,0,1,
439,11.5,86.19,58.8,1,0,1,
440,11.66,85.02,61.8,2,0,2,
441,11.73,84.55,58.8,1,0,1,
442,11.74,84.44,58.8,1,0,1,
443,11.74,84.52,59.4,1,0,1,
444,11.75,84.38,53.3,1,0,1,
445,11.77,84.27,61.1,1,0,1,
446,11.65,85.12,58.8,2,0,2,
447,11.76,84.35,58.1,1,0,1,
448,11.75,84.4,61.1,1,0,1,
449,11.77,84.27,57.6,1,0,1,
450,11.54,85.98,57.6,2,0,2,
451,11.53,86.04,56.3,2,0,2,
452,11.65,85.05,61.8,2,0,2,
453,11.7,84.79,56.2,1,0,1,
454,11.68,84.92,62.2,2,0,2,
455,11.56,85.78,57.6,2,0,2,
456,11.55,85.76,58.8,1,0,1,
457,11.71,84.66,60.0,1,0,1,
458,11.66,85.05,59.4,2,0,2,
459,11.7,84.75,62.2,2,0,2,
460,11.69,84.84,58.8,1,0,1,
461,11.68,84.94,53.3,2,0,2,
462,11.56,85.81,61.1,1,0,1,
463,11.65,85.15,60.0,1,0,1,
464,11.69,84.77,58.1,1,0,1,
465,11.66,85.08,61.1,1,0,1,
466,11.67,84.96,58.8,1,0,1,
467,11.71,84.68,54.8,1,0,1,
468,11.76,84.31,61.1,2,0,2,
469,11.75,84.4,59.4,1,0,1,
470,11.73,84.56,63.2,1,0,1,
471,11.75,84.45,60.0,1,0,1,
472,11.6,85.44,57.6,1,0,1,
473,11.76,84.33,62.9,1,0,1,
474,11.47,86.41,57.6,1,0,1,
475,11.69,84.86,61.1,1,1,0,microwave on your left
476,11.71,84.56,61.1,2,0,2,
477,11.68,84.97,62.9,1,0,1,
478,11.75,84.43,58.8,1,0,1,
479,11.67,85.01,57.6,1,0,1,
480,11.69,84.78,54.8,1,0,1,
481,11.68,84.93,60.0,1,0,1,
482,11.79,84.12,60.6,1,0,1,
483,11.05,89.83,64.7,1,0,1,
484,11.67,84.98,60.0,1,0,1,
485,11.66,85.06,56.3,1,0,1,
486,11.7,84.76,58.8,1,0,1,
487,11.84,83.78,58.1,1,0,1,
488,11.79,84.13,58.8,1,0,1,
489,11.85,83.68,62.2,1,0,1,
490,11.79,84.08,56.2,2,1,1,person on your left
491,11.75,84.42,59.4,2,0,2,
492,11.8,84.0,57.6,1,0,1,
493,11.67,85.0,61.1,2,0,2,
494,11.76,84.32,56.3,2,0,2,
495,11.55,85.9,62.9,2,0,2,
496,11.82,83.84,56.3,2,1,1,person on your left
497,11.69,84.85,56.3,2,0,2,
498,11.77,84.26,63.9,2,0,2,
499,11.82,83.89,56.3,2,0,2,
500,11.79,84.06,57.6,2,0,2,
501,11.67,85.0,62.9,2,1,1,microwave ahead
502,11.71,84.67,60.0,2,1,1,tv ahead
503,11.84,83.75,54.8,2,0,2,
504,11.73,84.56,62.2,1,0,1,
505,11.81,83.98,58.1,1,0,1,
506,11.82,83.86,57.6,1,0,1,
507,11.82,83.93,56.3,1,0,1,
508,11.85,83.63,62.9,1,1,0,person ahead
509,11.56,85.84,61.1,1,0,1,
510,11.81,83.92,57.6,1,0,1,
511,11.8,84.06,61.1,1,0,1,
512,11.77,84.27,60.6,1,0,1,
513,11.82,83.93,56.3,1,0,1,
514,11.78,84.14,56.3,1,0,1,
515,11.81,83.99,60.6,1,0,1,
516,11.85,83.69,60.0,1,0,1,
517,11.87,83.6,56.3,1,0,1,
518,11.81,83.97,59.4,1,0,1,
519,11.71,84.74,57.6,1,0,1,
520,11.81,83.93,62.2,1,0,1,
521,11.63,85.27,56.2,1,0,1,
522,11.71,84.66,62.9,1,0,1,
523,11.75,84.4,58.8,1,0,1,
524,11.79,84.11,56.2,1,0,1,
525,11.81,84.0,61.8,1,0,1,
526,11.83,83.78,61.1,1,0,1,
527,11.85,83.7,57.6,1,0,1,
528,11.78,84.16,55.2,1,0,1,
529,11.82,83.95,57.6,1,0,1,
530,11.78,84.17,58.8,1,0,1,
531,11.81,84.0,60.6,1,0,1,
532,11.53,86.06,51.6,1,0,1,
533,11.69,84.85,63.9,1,0,1,
534,11.74,84.48,56.3,1,0,1,
535,11.83,83.86,58.8,1,0,1,
536,11.91,83.27,62.9,1,0,1,
537,11.76,84.38,57.6,1,0,1,
538,11.7,84.72,53.3,1,0,1,
539,11.74,84.53,61.1,1,0,1,
540,11.7,84.71,60.6,1,0,1,
541,11.78,84.18,57.6,1,0,1,
542,11.12,89.26,64.7,1,0,1,
543,11.75,84.42,57.6,1,0,1,
544,11.51,86.16,63.2,1,0,1,
545,11.39,87.05,57.6,1,0,1,
546,11.75,84.37,56.7,1,0,1,
547,11.67,85.01,60.0,1,0,1,
548,11.65,85.08,56.3,1,0,1,
549,11.73,84.53,62.2,1,0,1,
550,11.69,84.8,56.3,1,0,1,
551,11.71,84.74,61.8,1,0,1,
552,11.68,84.9,58.8,1,0,1,
553,11.55,85.91,57.6,2,1,1,microwave on your left
554,11.63,85.28,59.4,2,0,2,
555,11.72,84.62,63.2,2,0,2,
556,11.54,85.88,56.3,2,0,2,
557,11.71,84.71,61.1,2,0,2,
558,11.69,84.81,58.1,2,0,2,
559,11.67,85.03,61.1,1,1,0,person ahead
560,11.73,84.53,56.2,2,0,2,
561,11.78,84.23,60.0,2,0,2,
562,11.77,84.23,60.6,2,0,2,
563,11.72,84.56,60.0,1,1,0,person ahead
564,11.65,85.16,56.3,1,0,1,
565,11.82,83.95,60.0,2,0,2,
566,11.73,84.54,59.4,2,0,2,
567,11.67,85.0,60.0,2,1,1,person on your right
568,11.77,84.28,61.1,2,0,2,
569,11.87,83.59,58.1,1,0,1,
570,11.79,84.09,56.3,1,0,1,
571,11.74,84.49,62.2,2,0,2,
572,11.76,84.31,58.1,2,0,2,
573,11.83,83.88,58.8,2,0,2,
574,11.77,84.24,60.0,2,1,1,person on your right
575,11.84,83.8,61.1,2,0,2,
576,11.84,83.75,60.6,2,0,2,
577,11.73,84.57,57.6,2,0,2,
578,11.78,84.18,58.8,2,0,2,
579,11.49,86.34,63.2,2,1,1,person on your right
580,11.75,84.37,61.8,2,0,2,
581,11.81,83.98,61.1,2,0,2,
582,11.81,83.95,56.3,1,0,1,
583,11.87,83.56,60.6,1,0,1,
584,11.82,83.91,56.3,1,0,1,
585,11.84,83.78,60.0,1,0,1,
586,11.89,83.38,61.8,0,0,0,
587,11.89,83.38,61.1,1,0,1,
588,11.69,84.8,57.6,1,0,1,
589,11.9,83.38,59.4,1,0,1,
590,11.81,84.0,61.1,1,0,1,
591,11.55,85.88,60.0,2,1,1,tv on your left
592,11.78,84.18,54.8,1,0,1,
593,11.82,83.93,64.1,1,0,1,
594,11.83,83.8,57.6,1,0,1,
595,11.85,83.67,58.1,1,0,1,
596,11.81,83.95,57.6,2,0,2,
597,11.86,83.66,58.8,1,0,1,
598,11.72,84.57,60.0,1,0,1,
599,11.88,83.48,60.6,1,0,1,
600,11.05,89.75,59.4,1,0,1,
601,11.78,84.22,63.9,1,0,1,
602,11.71,84.67,58.8,1,0,1,
603,11.54,85.71,61.1,1,0,1,
604,11.78,84.21,57.6,1,0,1,
605,11.8,84.07,58.1,1,0,1,
606,11.84,83.74,62.2,1,0,1,
607,11.77,84.26,60.0,2,0,2,
608,11.81,83.99,59.4,1,0,1,
609,11.8,84.12,54.8,1,0,1,
610,11.83,83.82,62.2,1,0,1,
611,11.87,83.55,61.8,1,0,1,
612,11.41,86.89,61.1,1,1,0,microwave on your left
613,11.92,83.21,61.1,1,0,1,
614,11.62,85.36,61.1,1,0,1,
615,11.66,85.1,61.8,1,0,1,
616,11.82,83.86,56.2,1,0,1,
617,11.82,83.9,54.8,1,0,1,
618,11.74,84.45,56.7,1,0,1,
619,11.78,84.22,61.1,1,0,1,
620,11.8,83.98,57.6,1,0,1,
621,11.8,84.08,57.6,1,0,1,
622,11.79,84.08,61.8,1,0,1,
623,11.84,83.78,62.2,1,0,1,
624,11.85,83.65,56.3,1,0,1,
625,11.8,84.04,60.6,1,0,1,
626,11.55,85.89,58.8,1,0,1,
627,11.81,83.98,56.3,1,0,1,
628,11.85,83.69,58.1,1,0,1,
629,11.83,83.89,57.6,1,0,1,
630,11.84,83.73,57.6,1,1,0,tv on your left
631,11.65,85.17,62.2,1,0,1,
632,11.73,84.49,56.7,1,0,1,
633,11.85,83.74,60.0,1,0,1,
634,11.78,84.19,62.2,1,0,1,
635,11.82,83.95,61.8,1,0,1,
636,11.85,83.67,53.3,1,0,1,
637,11.73,84.61,56.3,1,0,1,
638,11.67,85.01,60.6,1,0,1,
639,11.71,84.69,58.8,1,0,1,
640,11.73,84.52,60.0,1,0,1,
641,11.76,84.35,57.6,1,0,1,
642,11.7,84.77,61.8,1,0,1,
643,11.72,84.62,58.8,1,0,1,
644,11.73,84.53,57.6,2,1,1,person on your right
645,11.63,85.26,60.0,2,1,1,person on your right
646,11.76,84.34,60.6,2,0,2,
647,11.72,84.63,61.1,2,0,2,
648,11.69,84.87,58.8,2,0,2,
649,11.44,86.75,54.8,2,0,2,
650,11.63,85.23,54.8,2,0,2,
651,11.74,84.52,60.0,2,0,2,
652,11.64,85.12,58.8,2,0,2,
653,11.74,84.47,63.9,2,0,2,
654,11.74,84.39,57.6,2,0,2,
655,11.73,84.58,54.8,2,0,2,
656,11.67,84.93,61.1,2,0,2,
657,11.75,84.42,58.1,2,0,2,
658,11.69,84.86,60.0,2,1,1,person on your right
659,11.14,89.13,67.6,2,0,2,
660,11.76,84.33,57.6,2,0,2,
661,11.46,86.61,62.2,2,0,2,
662,11.63,85.25,62.9,3,2,1,person on your right | chair on your right
663,11.74,84.52,56.3,2,0,2,
664,11.73,84.54,56.3,2,0,2,
665,11.48,86.41,57.6,3,2,1,person ahead | chair ahead
666,11.77,84.24,62.2,2,0,2,
667,11.62,85.35,59.4,2,0,2,
668,11.63,85.2,61.1,2,0,2,
669,11.76,84.37,56.3,2,0,2,
670,11.53,86.07,63.9,2,0,2,
671,11.66,85.1,53.3,2,1,1,microwave on your left
672,11.78,84.15,62.2,2,1,1,person ahead
673,11.4,87.04,56.3,2,0,2,
674,11.72,84.54,58.8,2,0,2,
675,11.63,85.31,59.4,2,0,2,
676,11.76,84.32,58.8,2,0,2,
677,11.64,85.2,54.8,2,0,2,
678,11.71,84.71,63.2,2,0,2,
679,11.77,84.29,56.3,2,0,2,
680,11.76,84.36,62.9,2,0,2,
681,11.75,84.4,57.6,1,0,1,
682,11.68,84.91,58.8,1,0,1,
683,11.75,84.4,62.2,1,0,1,
